TUCASEID,newAct,remote,TUACTDUR24
20180101182192,Socialising & relaxing,Non-remote,195.0
20180101182192,Travelling,Non-remote,25.0
20180101182192,Working,Non-remote,465.0
20180101182240,Doing housework,Non-remote,0.0
20180101182240,Eating & Drinking,Non-remote,60.0
20180101182240,Exercising,Non-remote,60.0
20180101182240,Sleeping,Non-remote,360.0
20180101182240,Socialising & relaxing,Non-remote,260.0
20180101182240,Travelling,Non-remote,80.0
20180101182240,Working,Non-remote,535.0
20180101182327,Doing housework,Non-remote,0.0
20180101182327,Eating & Drinking,Non-remote,30.0
20180101182327,Exercising,Non-remote,0.0
20180101182327,Sleeping,Non-remote,720.0
20180101182327,Socialising & relaxing,Non-remote,210.0
20180101182327,Travelling,Non-remote,35.0
20180101182327,Working,Non-remote,385.0
20180101182416,Doing housework,Remote,8.0
20180101182416,Eating & Drinking,Remote,20.0
20180101182416,Exercising,Remote,0.0
20180101182416,Sleeping,Remote,537.0
20180101182416,Socialising & relaxing,Remote,225.0
20180101182416,Travelling,Remote,45.0
20180101182416,Working,Remote,580.0
20180101182440,Doing housework,Remote,0.0
20180101182440,Eating & Drinking,Remote,35.0
20180101182440,Exercising,Remote,0.0
20180101182440,Sleeping,Remote,470.0
20180101182440,Socialising & relaxing,Remote,150.0
20180101182440,Travelling,Remote,70.0
20180101182440,Working,Remote,489.0
20180101182445,Doing housework,Non-remote,0.0
20180101182445,Eating & Drinking,Non-remote,95.0
20180101182445,Exercising,Non-remote,0.0
20180101182445,Sleeping,Non-remote,466.0
20180101182445,Socialising & relaxing,Non-remote,71.0
20180101182445,Travelling,Non-remote,60.0
20180101182445,Working,Non-remote,540.0
20180101182488,Doing housework,Non-remote,20.0
20180101182488,Eating & Drinking,Non-remote,20.0
20180101182488,Exercising,Non-remote,0.0
20180101182488,Sleeping,Non-remote,479.0
20180101182488,Socialising & relaxing,Non-remote,80.0
20180101182488,Travelling,Non-remote,90.0
20180101182488,Working,Non-remote,660.0
20180101182517,Doing housework,Non-remote,0.0
20180101182517,Eating & Drinking,Non-remote,0.0
20180101182517,Exercising,Non-remote,0.0
20180101182517,Sleeping,Non-remote,590.0
20180101182517,Socialising & relaxing,Non-remote,180.0
20180101182517,Travelling,Non-remote,65.0
20180101182517,Working,Non-remote,475.0
20180111170533,Doing housework,Non-remote,5.0
20180111170533,Eating & Drinking,Non-remote,50.0
20180111170533,Exercising,Non-remote,0.0
20180111170533,Sleeping,Non-remote,297.0
20180111170533,Socialising & relaxing,Non-remote,367.0
20180111170533,Travelling,Non-remote,56.0
20180111170533,Working,Non-remote,510.0
20180111170545,Doing housework,Non-remote,25.0
20180111170545,Eating & Drinking,Non-remote,80.0
20180111170545,Exercising,Non-remote,0.0
20180111170545,Sleeping,Non-remote,445.0
20180111170545,Socialising & relaxing,Non-remote,223.0
20180111170545,Travelling,Non-remote,46.0
20180111170545,Working,Non-remote,529.0
20180111170563,Doing housework,Non-remote,0.0
20180111170563,Eating & Drinking,Non-remote,70.0
20180111170563,Exercising,Non-remote,0.0
20180111170563,Sleeping,Non-remote,420.0
20180111170563,Socialising & relaxing,Non-remote,390.0
20180111170563,Travelling,Non-remote,60.0
20180111170563,Working,Non-remote,390.0
20180111170620,Doing housework,Non-remote,30.0
20180111170620,Eating & Drinking,Non-remote,60.0
20180111170620,Exercising,Non-remote,0.0
20180111170620,Sleeping,Non-remote,300.0
20180111170620,Socialising & relaxing,Non-remote,365.0
20180111170620,Travelling,Non-remote,10.0
20180111170620,Working,Non-remote,465.0
20180111170655,Doing housework,Non-remote,0.0
20180111170655,Eating & Drinking,Non-remote,85.0
20180111170655,Exercising,Non-remote,0.0
20180111170655,Sleeping,Non-remote,535.0
20180111170655,Socialising & relaxing,Non-remote,25.0
20180111170655,Travelling,Non-remote,50.0
20180111170655,Working,Non-remote,635.0
20180111170673,Doing housework,Non-remote,0.0
20180111170673,Eating & Drinking,Non-remote,60.0
20180111170673,Exercising,Non-remote,0.0
20180111170673,Sleeping,Non-remote,500.0
20180111170673,Socialising & relaxing,Non-remote,94.0
20180111170673,Travelling,Non-remote,110.0
20180111170673,Working,Non-remote,557.0
20180111170701,Doing housework,Non-remote,0.0
20180111170701,Eating & Drinking,Non-remote,70.0
20180111170701,Exercising,Non-remote,0.0
20180111170701,Sleeping,Non-remote,480.0
20180111170701,Socialising & relaxing,Non-remote,275.0
20180111170701,Travelling,Non-remote,50.0
20180111170701,Working,Non-remote,505.0
20180111170738,Doing housework,Non-remote,0.0
20180111170738,Eating & Drinking,Non-remote,80.0
20180111170738,Exercising,Non-remote,0.0
20180111170738,Sleeping,Non-remote,482.0
20180111170738,Socialising & relaxing,Non-remote,60.0
20180111170738,Travelling,Non-remote,88.0
20180111170738,Working,Non-remote,660.0
20180111170811,Doing housework,Non-remote,0.0
20180111170811,Eating & Drinking,Non-remote,30.0
20180111170811,Exercising,Non-remote,0.0
20180111170811,Sleeping,Non-remote,485.0
20180111170811,Socialising & relaxing,Non-remote,150.0
20180111170811,Travelling,Non-remote,40.0
20180111170811,Working,Non-remote,575.0
20180111170863,Doing housework,Non-remote,0.0
20180111170863,Eating & Drinking,Non-remote,30.0
20180111170863,Exercising,Non-remote,0.0
20180111170863,Sleeping,Non-remote,450.0
20180111170863,Socialising & relaxing,Non-remote,335.0
20180111170863,Travelling,Non-remote,50.0
20180111170863,Working,Non-remote,540.0
20180111170887,Doing housework,Non-remote,0.0
20180111170887,Eating & Drinking,Non-remote,180.0
20180111170887,Exercising,Non-remote,60.0
20180111170887,Sleeping,Non-remote,390.0
20180111170887,Socialising & relaxing,Non-remote,90.0
20180111170887,Travelling,Non-remote,70.0
20180111170887,Working,Non-remote,560.0
20180111170937,Doing housework,Remote,0.0
20180111170937,Eating & Drinking,Remote,230.0
20180111170937,Exercising,Remote,0.0
20180111170937,Sleeping,Remote,440.0
20180111170937,Socialising & relaxing,Remote,210.0
20180111170937,Travelling,Remote,30.0
20180111170937,Working,Remote,475.0
20180111170992,Doing housework,Non-remote,45.0
20180111170992,Eating & Drinking,Non-remote,15.0
20180111170992,Exercising,Non-remote,0.0
20180111170992,Sleeping,Non-remote,420.0
20180111170992,Socialising & relaxing,Non-remote,325.0
20180111170992,Travelling,Non-remote,24.0
20180111170992,Working,Non-remote,483.0
20180111171047,Doing housework,Non-remote,0.0
20180111171047,Eating & Drinking,Non-remote,45.0
20180111171047,Exercising,Non-remote,0.0
20180111171047,Sleeping,Non-remote,690.0
20180111171047,Socialising & relaxing,Non-remote,0.0
20180111171047,Travelling,Non-remote,30.0
20180111171047,Working,Non-remote,390.0
20180111171158,Doing housework,Non-remote,70.0
20180111171158,Eating & Drinking,Non-remote,0.0
20180111171158,Exercising,Non-remote,0.0
20180111171158,Sleeping,Non-remote,440.0
20180111171158,Socialising & relaxing,Non-remote,150.0
20180111171158,Travelling,Non-remote,80.0
20180111171158,Working,Non-remote,510.0
20180111171206,Doing housework,Non-remote,15.0
20180111171206,Eating & Drinking,Non-remote,40.0
20180111171206,Exercising,Non-remote,0.0
20180111171206,Sleeping,Non-remote,520.0
20180111171206,Socialising & relaxing,Non-remote,20.0
20180111171206,Travelling,Non-remote,85.0
20180111171206,Working,Non-remote,543.0
20180111171258,Doing housework,Non-remote,0.0
20180111171258,Eating & Drinking,Non-remote,150.0
20180111171258,Exercising,Non-remote,30.0
20180111171258,Sleeping,Non-remote,462.0
20180111171258,Socialising & relaxing,Non-remote,60.0
20180111171258,Travelling,Non-remote,155.0
20180111171258,Working,Non-remote,450.0
20180111171325,Doing housework,Non-remote,0.0
20180111171325,Eating & Drinking,Non-remote,20.0
20180111171325,Exercising,Non-remote,0.0
20180111171325,Sleeping,Non-remote,525.0
20180111171325,Socialising & relaxing,Non-remote,50.0
20180111171325,Travelling,Non-remote,88.0
20180111171325,Working,Non-remote,476.0
20180111171326,Doing housework,Non-remote,0.0
20180111171326,Eating & Drinking,Non-remote,25.0
20180111171326,Exercising,Non-remote,0.0
20180111171326,Sleeping,Non-remote,563.0
20180111171326,Socialising & relaxing,Non-remote,42.0
20180111171326,Travelling,Non-remote,80.0
20180111171326,Working,Non-remote,400.0
20180111171419,Doing housework,Non-remote,0.0
20180111171419,Eating & Drinking,Non-remote,54.0
20180111171419,Exercising,Non-remote,0.0
20180111171419,Sleeping,Non-remote,360.0
20180111171419,Socialising & relaxing,Non-remote,100.0
20180111171419,Travelling,Non-remote,66.0
20180111171419,Working,Non-remote,665.0
20180111171436,Doing housework,Non-remote,40.0
20180111171436,Eating & Drinking,Non-remote,25.0
20180111171436,Exercising,Non-remote,0.0
20180111171436,Sleeping,Non-remote,445.0
20180111171436,Socialising & relaxing,Non-remote,180.0
20180111171436,Travelling,Non-remote,95.0
20180111171436,Working,Non-remote,495.0
20180111171453,Doing housework,Non-remote,15.0
20180111171453,Eating & Drinking,Non-remote,47.0
20180111171453,Exercising,Non-remote,0.0
20180111171453,Sleeping,Non-remote,333.0
20180111171453,Socialising & relaxing,Non-remote,218.0
20180111171453,Travelling,Non-remote,120.0
20180111171453,Working,Non-remote,505.0
20180111171468,Doing housework,Non-remote,0.0
20180111171468,Eating & Drinking,Non-remote,60.0
20180111171468,Exercising,Non-remote,0.0
20180111171468,Sleeping,Non-remote,715.0
20180111171468,Socialising & relaxing,Non-remote,180.0
20180111171468,Travelling,Non-remote,10.0
20180111171468,Working,Non-remote,445.0
20180111171476,Doing housework,Non-remote,0.0
20180111171476,Eating & Drinking,Non-remote,20.0
20180111171476,Exercising,Non-remote,0.0
20180111171476,Sleeping,Non-remote,570.0
20180111171476,Socialising & relaxing,Non-remote,180.0
20180111171476,Travelling,Non-remote,40.0
20180111171476,Working,Non-remote,530.0
20180111171535,Doing housework,Non-remote,0.0
20180111171535,Eating & Drinking,Non-remote,30.0
20180111171535,Exercising,Non-remote,0.0
20180111171535,Sleeping,Non-remote,290.0
20180111171535,Socialising & relaxing,Non-remote,360.0
20180111171535,Travelling,Non-remote,40.0
20180111171535,Working,Non-remote,300.0
20180111171676,Doing housework,Non-remote,0.0
20180111171676,Eating & Drinking,Non-remote,80.0
20180111171676,Exercising,Non-remote,40.0
20180111171676,Sleeping,Non-remote,535.0
20180111171676,Socialising & relaxing,Non-remote,75.0
20180111171676,Travelling,Non-remote,65.0
20180111171676,Working,Non-remote,472.0
20180111171813,Doing housework,Non-remote,0.0
20180111171813,Eating & Drinking,Non-remote,135.0
20180111171813,Exercising,Non-remote,0.0
20180111171813,Sleeping,Non-remote,500.0
20180111171813,Socialising & relaxing,Non-remote,165.0
20180111171813,Travelling,Non-remote,70.0
20180111171813,Working,Non-remote,460.0
20180111172024,Doing housework,Non-remote,45.0
20180111172024,Eating & Drinking,Non-remote,30.0
20180111172024,Exercising,Non-remote,0.0
20180111172024,Sleeping,Non-remote,780.0
20180111172024,Socialising & relaxing,Non-remote,0.0
20180111172024,Travelling,Non-remote,120.0
20180111172024,Working,Non-remote,360.0
20180111172218,Doing housework,Non-remote,10.0
20180111172218,Eating & Drinking,Non-remote,65.0
20180111172218,Exercising,Non-remote,0.0
20180111172218,Sleeping,Non-remote,605.0
20180111172218,Socialising & relaxing,Non-remote,115.0
20180111172218,Travelling,Non-remote,75.0
20180111172218,Working,Non-remote,450.0
20180111172271,Doing housework,Non-remote,120.0
20180111172271,Eating & Drinking,Non-remote,40.0
20180111172271,Exercising,Non-remote,0.0
20180111172271,Sleeping,Non-remote,600.0
20180111172271,Socialising & relaxing,Non-remote,80.0
20180111172271,Travelling,Non-remote,43.0
20180111172271,Working,Non-remote,460.0
20180111172373,Doing housework,Non-remote,30.0
20180111172373,Eating & Drinking,Non-remote,45.0
20180111172373,Exercising,Non-remote,0.0
20180111172373,Sleeping,Non-remote,405.0
20180111172373,Socialising & relaxing,Non-remote,135.0
20180111172373,Travelling,Non-remote,130.0
20180111172373,Working,Non-remote,455.0
20180111172494,Doing housework,Non-remote,0.0
20180111172494,Eating & Drinking,Non-remote,30.0
20180111172494,Exercising,Non-remote,0.0
20180111172494,Sleeping,Non-remote,540.0
20180111172494,Socialising & relaxing,Non-remote,120.0
20180111172494,Travelling,Non-remote,20.0
20180111172494,Working,Non-remote,480.0
20180111172537,Doing housework,Non-remote,0.0
20180111172537,Eating & Drinking,Non-remote,75.0
20180111172537,Exercising,Non-remote,0.0
20180111172537,Sleeping,Non-remote,525.0
20180111172537,Socialising & relaxing,Non-remote,110.0
20180111172537,Travelling,Non-remote,135.0
20180111172537,Working,Non-remote,290.0
20180111172538,Doing housework,Non-remote,0.0
20180111172538,Eating & Drinking,Non-remote,70.0
20180111172538,Exercising,Non-remote,150.0
20180111172538,Sleeping,Non-remote,575.0
